"Title","Link","Description","pubDate","guid"
"Fatigue and frayed nerves grip Kyiv as city shelters from nightly Russian raids","https://www.theguardian.com/world/2023/jun/02/kyiv-ukraine-struggles-to-sleep-russia-bombings","<p>Strikes on the capital have caused few casualties but residents face a new ‘psychological terror’</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/jun/02/russia-ukraine-war-live-kyiv-shoots-down-more-than-30-missiles-and-drones-in-early-morning-strikes"">Russia-Ukraine war – latest news</a></li></ul><p>When the air raid alarms go off at around 3am, the first things exhausted Kyvians do is reach for their mobile phones, check the news, message family and friends – and start listening to the explosions that almost certainly follow.</p><p>“You wake up, go to a safe space, maybe a shelter, holding your phone. You cannot work, you cannot read; you sit and look around and wait. In the worst case, you hear a distinctive noise, maybe like a motorcycle passing by,” said Kira Rudik, a Ukrainian MP and leader of the liberal Holos party.</p> <a href=""https://www.theguardian.com/world/2023/jun/02/kyiv-ukraine-struggles-to-sleep-russia-bombings"">Continue reading...</a>","Fri, 02 Jun 2023 16:32:32 GMT","https://www.theguardian.com/world/2023/jun/02/kyiv-ukraine-struggles-to-sleep-russia-bombings"
"Pro-Ukrainian forces ‘still fighting in Russia’s Belgorod’ despite Moscow claims","https://www.theguardian.com/world/2023/jun/02/pro-ukrainian-forces-still-fighting-in-russias-belgorod-despite-moscow-claims","<p>Freedom of Russia Legion social media reports contradict Russian claims to have repelled the rebel incursion</p><ul><li><a href=""https://www.theguardian.com/world/live/2023/jun/02/russia-ukraine-war-live-kyiv-shoots-down-more-than-30-missiles-and-drones-in-early-morning-strikes"">Russia-Ukraine war – latest news updates</a></li></ul><p><a href=""https://www.theguardian.com/world/2023/jun/01/anti-putin-partisans-shell-russian-town"">Ukrainian-backed Russian rebel groups</a> have said they are still fighting inside Russia’s Belgorod region, despite Moscow’s claims on Thursday to have repelled the incursion.</p><p>The Freedom of Russia Legion posted videos on social media of combat apparantly in the Belgorod village Novaya Tavolzhanka, between the Ukrainian-Russian border and the town of Shebekino, the legion’s stated goal.</p> <a href=""https://www.theguardian.com/world/2023/jun/02/pro-ukrainian-forces-still-fighting-in-russias-belgorod-despite-moscow-claims"">Continue reading...</a>","Fri, 02 Jun 2023 14:23:58 GMT","https://www.theguardian.com/world/2023/jun/02/pro-ukrainian-forces-still-fighting-in-russias-belgorod-despite-moscow-claims"
"Russia-Ukraine war at a glance: what we know on day 465 of the invasion","https://www.theguardian.com/world/2023/jun/03/russia-ukraine-war-at-a-glance-what-we-know-on-day-465-of-the-invasion","<p>Kyiv mayor orders air-raid shelters to operate around the clock; Washington says training for Ukraine on advanced US Abrams tanks has begun   </p><ul><li><a href=""https://www.theguardian.com/world/russia+ukraine"">See all our Russia-Ukraine war coverage</a></li></ul> <a href=""https://www.theguardian.com/world/2023/jun/03/russia-ukraine-war-at-a-glance-what-we-know-on-day-465-of-the-invasion"">Continue reading...</a>","Sat, 03 Jun 2023 00:15:23 GMT","https://www.theguardian.com/world/2023/jun/03/russia-ukraine-war-at-a-glance-what-we-know-on-day-465-of-the-invasion"
"What happened in the Russia-Ukraine war this week? Catch up with the must-read news and analysis","https://www.theguardian.com/world/2023/jun/03/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis","<p>Ukraine recruits prepare to retake Bakhmut; three people, including a child, killed in Kyiv; drone attack sees war reach Moscow </p><p>Every week we wrap up the must-reads from our coverage of the <a href=""https://www.theguardian.com/world/ukraine"">Ukraine</a> war, from news and features to analysis, visual guides and opinion.</p> <a href=""https://www.theguardian.com/world/2023/jun/03/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis"">Continue reading...</a>","Fri, 02 Jun 2023 20:00:11 GMT","https://www.theguardian.com/world/2023/jun/03/what-happened-in-the-russia-ukraine-war-this-week-catch-up-with-the-must-read-news-and-analysis"
"‘Post-marriage, I was a teenager again’: how I turned the page after getting divorced in my 30s","https://www.theguardian.com/lifeandstyle/2023/jun/03/post-marriage-i-was-a-teenager-again-how-i-turned-the-page-after-getting-divorced-in-my-30s","<p>When Joanna Biggs split up with her husband, she stepped off a conventional path into what seemed like chaos. Could books and art guide her to an alternative happy ending?</p><p>There are many things I didn’t do when I got divorced seven years ago at the age of 34: I didn’t set up a divorce registry; I didn’t throw my arms out behind me like wings while walking across a car park; I didn’t send an announcement that I was consciously uncoupling with a picture of me and my ex sitting on a lawn in happier times; I didn’t throw a party; I didn’t order a cake iced with “Boy, bye”; I didn’t erase all traces of my married life, burn love letters or throw my rings into the sea.</p><p>I don’t disapprove of these things – I laughed out loud when I came across the “Boy, bye” cake online recently, and if a paparazzo had cared he could have caught me dancing down the road that first divorcee summer – but what I most remember about that time was a feeling of plotlessness. I had chosen to come off the conventional path. What next? Not this, I kept saying, working my way slowly and haphazardly towards the things that did feel right. One of the first of those things was selling my wedding dress. I had felt beautiful in it, and though I didn’t want to wear it again, it wasn’t because it felt cursed. I could let it go. I feel happy when I think of someone else unknowingly giving that gown new life. I bought a new dress in silk jersey, covered in poppies, primroses and blue hydrangeas.</p> <a href=""https://www.theguardian.com/lifeandstyle/2023/jun/03/post-marriage-i-was-a-teenager-again-how-i-turned-the-page-after-getting-divorced-in-my-30s"">Continue reading...</a>","Sat, 03 Jun 2023 06:00:23 GMT","https://www.theguardian.com/lifeandstyle/2023/jun/03/post-marriage-i-was-a-teenager-again-how-i-turned-the-page-after-getting-divorced-in-my-30s"
"Blind date: ‘I got way too excited seeing margaritas on the menu’","https://www.theguardian.com/lifeandstyle/2023/jun/03/blind-date-katie-will","<p>Katie, 29, who works in television, meets Will, 35, a senior finance analyst</p><p><strong>What were you hoping for?</strong><br />The closest I could get to being on First Dates – without making a fool of myself on television.</p> <a href=""https://www.theguardian.com/lifeandstyle/2023/jun/03/blind-date-katie-will"">Continue reading...</a>","Sat, 03 Jun 2023 05:00:23 GMT","https://www.theguardian.com/lifeandstyle/2023/jun/03/blind-date-katie-will"
"Adam Kay: ‘My worst job? A comedy gig for angry, horny squaddies. I was on after the stripper’","https://www.theguardian.com/lifeandstyle/2023/jun/03/adam-kay-my-worst-job-a-comedy-gig-for-angry-horny-squaddies-i-was-on-after-the-stripper","<p>The writer of This Is Going to Hurt on self‑destruction, an awkward meeting with AOC and why he can’t stand Jeremy Hunt</p><p>Born in Brighton, Kay, 42, spent six years as a junior doctor before leaving in 2010 to become a comedian. In 2017 he published his bestselling memoir, <a href=""https://www.theguardian.com/books/2018/may/04/this-is-going-to-hurt-secret-diaries-of-a-junior-doctor-by-adam-kay-review"" title="""">This Is Going to Hurt</a>. In 2022 it became a <a href=""https://www.theguardian.com/tv-and-radio/2022/feb/08/this-is-going-to-hurt-review-ben-whishaw-stars-in-a-realism-packed-adaptation#:~:text=Like%20the%20book%2C%20This%20Is,%2Dorifices%20anecdotage%20has%20faded)."" title="""">BBC TV series starring Ben Whishaw</a>, and this year Kay won a Bafta for the script. His latest book, <a href=""https://guardianbookshop.com/undoctored-9781398700390"" title="""">Undoctored: The Story of a Medic Who Ran Out of Patients</a>, is out in paperback on 8 June. He performs <a href=""https://www.pleasance.co.uk/event/adam-kay-undoctored-going-hurtmore"" title="""">Undoctored – This Is Going to Hurt… More</a> at the Pleasance theatre on the Edinburgh Fringe from 2-28 August. Kay lives in Oxfordshire with his husband, James Farrell.</p><p><strong>When were you happiest?</strong><br />In the one photo I’ve seen where my smile looks convincing – I’m four years old, so I’m guessing then. But I just won a Bafta and that felt amazing, too. So, roughly every 40 years.</p> <a href=""https://www.theguardian.com/lifeandstyle/2023/jun/03/adam-kay-my-worst-job-a-comedy-gig-for-angry-horny-squaddies-i-was-on-after-the-stripper"">Continue reading...</a>","Sat, 03 Jun 2023 08:30:25 GMT","https://www.theguardian.com/lifeandstyle/2023/jun/03/adam-kay-my-worst-job-a-comedy-gig-for-angry-horny-squaddies-i-was-on-after-the-stripper"
"‘We seem to have slipped into another time’: a walking holiday on the Scilly Isles","https://www.theguardian.com/travel/2023/jun/03/walking-holiday-on-the-scilly-isles-cornwall","<p>On a walking tour of this sparkling archipelago, <em>Raynor Winn</em> is transfixed by the views and the ‘otherness’</p><p>The morning had the bright clarity of perfect light, framing the landscape in stark relief against a clear blue sky. It was too perfect, one of those mornings that would soon be lost to rain. But as I looked out from the granite cliffs of Land’s End, I could see stark shapes interrupting the horizon between sea and sky. That was the first time I saw the <a href=""https://www.theguardian.com/travel/scilly"" title="""">Isles of Scilly</a>, tiny black specks in the Celtic Sea, at the vast blue edge of the Atlantic Ocean. They disappeared into the rain of the day and I never saw them again. Not until today.</p><p>It has been 10 years since we walked the <a href=""https://www.nationaltrail.co.uk/en_GB/trails/south-west-coast-path/"" title="""">South West Coast Path</a>. Ten years since that first sighting of Scilly, but it’s only now that we are finally leaving Land’s End, watching that familiar coastline grow smaller – me and my husband – heading to an unknown land and unwalked paths. But as we step on to St Mary’s, I begin to understand these islands aren’t so unfamiliar. The blocky granite stacks along the coastline of Scilly’s largest island echo those that surround the western tip of Cornwall. This outcrop of islands might be separated from the mainland by 28 miles of sea, but it’s firmly connected by granite.</p> <a href=""https://www.theguardian.com/travel/2023/jun/03/walking-holiday-on-the-scilly-isles-cornwall"">Continue reading...</a>","Sat, 03 Jun 2023 06:00:23 GMT","https://www.theguardian.com/travel/2023/jun/03/walking-holiday-on-the-scilly-isles-cornwall"
"Imran Khan’s political games leave him isolated as Pakistan army destroys party","https://www.theguardian.com/world/2023/jun/03/pakistan-imran-khan-pti-military-crackdown","<p>Allies desert former prime minister amid disappearances and torture as powerful military reasserts control</p><p>In recent days, Imran Khan has cut an increasingly isolated figure. Since Pakistan’s former prime minister was released from jail, after a brief but explosive attempt to arrest him last month, his return has been marked by a mass exodus of the top leadership of his party, on a scale that has surprised even his critics.</p><p>Late on Thursday night, Pervez Khattak, the former chief minister and defence minister, became the latest high-profile resignation from Khan’s Pakistan Tehreek-e-Insaf (PTI) party. He followed in the path of Khan’s former finance minister, his former human rights minister, his former information minister and his former shipping minister, who all stepped down from senior posts or left PTI altogether in recent weeks. Dozens of other federal and state ministers have followed suit.</p> <a href=""https://www.theguardian.com/world/2023/jun/03/pakistan-imran-khan-pti-military-crackdown"">Continue reading...</a>","Sat, 03 Jun 2023 06:00:24 GMT","https://www.theguardian.com/world/2023/jun/03/pakistan-imran-khan-pti-military-crackdown"
"‘Women are expected to put up and shut up’: the toxicity of attending men’s football","https://www.theguardian.com/football/blog/2023/jun/03/women-are-expected-to-put-up-and-shut-up-the-toxicity-of-attending-mens-football","<p>Violence, homophobia, racism and sexism make many fans at away games feel unsafe – and clubs aren’t doing enough to help</p><p>Ask anyone what they enjoy about attending professional women’s football and the answers will be similar: they are reeled in not only by the quality but the atmosphere, friendliness and inclusivity. With the women’s game growing, the toxicity around men’s football, especially for travelling supporters, is an even more glaring contrast. As the season ends, the <em>Guardian</em> spoke to fans of clubs across the Premier League and EFL who reported offensive chants, language, behaviour and sexual assaults. For women, families, black, Asian and minority ethnic and LGBTQ+ fans, following their team on the road can be difficult and uncomfortable.</p><p>One female supporter spoke of experiencing sexual assaults regularly when following her team and going to other games with friends. “I’ve normalised it,” she said. “You’d think I’d turn around and call them out, but I didn’t. Last time, it was only [when] walking back to the car I said to my husband: ‘Oh yeah, that’s happened again.’ I should have been more horrified, but it happens all the time, particularly at away games where people have been drinking all day. They think that’s acceptable. I don’t accept that.”</p> <a href=""https://www.theguardian.com/football/blog/2023/jun/03/women-are-expected-to-put-up-and-shut-up-the-toxicity-of-attending-mens-football"">Continue reading...</a>","Sat, 03 Jun 2023 05:00:23 GMT","https://www.theguardian.com/football/blog/2023/jun/03/women-are-expected-to-put-up-and-shut-up-the-toxicity-of-attending-mens-football"
"I’ve been taken hostage by a shop assistant – the Edith Pritchett cartoon","https://www.theguardian.com/lifeandstyle/ng-interactive/2023/jun/03/taken-hostage-by-a-shop-assistant-the-edith-pritchett-cartoon","<a href=""https://www.theguardian.com/lifeandstyle/ng-interactive/2023/jun/03/taken-hostage-by-a-shop-assistant-the-edith-pritchett-cartoon"">Continue reading...</a>","Sat, 03 Jun 2023 05:00:23 GMT","https://www.theguardian.com/lifeandstyle/ng-interactive/2023/jun/03/taken-hostage-by-a-shop-assistant-the-edith-pritchett-cartoon"
"Tim Dowling: why does everyone give me a hard time when I get up early?","https://www.theguardian.com/lifeandstyle/2023/jun/03/tim-dowling-why-does-everyone-give-me-a-hard-time-when-i-get-up-early","<p>Foregoing my usual lie-in renders the whole household out of sync. Even the cat and dog refuse to play ball</p><p>I am trying to dress myself quietly, but my wife rolls over and pulls the duvet low enough to reveal one staring eye. “What are you doing up?” she says.</p><p>“I’m a businessman,” I say.</p> <a href=""https://www.theguardian.com/lifeandstyle/2023/jun/03/tim-dowling-why-does-everyone-give-me-a-hard-time-when-i-get-up-early"">Continue reading...</a>","Sat, 03 Jun 2023 05:00:22 GMT","https://www.theguardian.com/lifeandstyle/2023/jun/03/tim-dowling-why-does-everyone-give-me-a-hard-time-when-i-get-up-early"
"Biden is America’s oldest president – but tripping over a sandbag tells us nothing | Jill Filipovic","https://www.theguardian.com/commentisfree/2023/jun/02/biden-fall-sandbag-age-president","<p>Age, cognitive health and physical fitness are all fair concerns but the president’s tumble could have happened to anyone</p><p>It’s a story so benign and unremarkable that it’s embarrassing it’s getting any coverage at all: man trips, falls, stands back up and walks it off. Except, of course, that the man is Joe Biden, who at 80 and seeking re-election is currently competing to be the oldest president in US history.</p><p>On Thursday, Biden was at the US Air Force Academy graduation ceremony handing out the last diploma when he tripped over a black sandbag. He got back up with a hand from Secret Service agents, and walked himself back to his seat. By all accounts, he was fine.</p><p>Jill Filipovic is the author of OK Boomer, Let’s Talk: How My Generation Got Left Behind</p> <a href=""https://www.theguardian.com/commentisfree/2023/jun/02/biden-fall-sandbag-age-president"">Continue reading...</a>","Fri, 02 Jun 2023 19:48:12 GMT","https://www.theguardian.com/commentisfree/2023/jun/02/biden-fall-sandbag-age-president"
"I love electric vehicles – and was an early adopter. But increasingly I feel duped | Rowan Atkinson","https://www.theguardian.com/commentisfree/2023/jun/03/electric-vehicles-early-adopter-petrol-car-ev-environment-rowan-atkinson","<p>Sadly, keeping your old petrol car may be better than buying an EV. There are sound environmental reasons not to jump just yet</p><p>Electric motoring is, in theory, a subject about which I should know something. My first university degree was in electrical and electronic engineering, with a subsequent master’s in control systems. Combine this, perhaps surprising, academic pathway with a lifelong passion for the motorcar, and you can see why I was drawn into an early adoption of electric vehicles. I bought my first electric hybrid 18 years ago and my first pure electric car nine years ago and (notwithstanding our poor electric charging infrastructure) have enjoyed my time with both very much. Electric vehicles may be a bit soulless, but they’re wonderful mechanisms: fast, quiet and, until recently, very cheap to run. But increasingly, I feel a little duped. When you start to drill into the facts, electric motoring doesn’t seem to be quite the environmental panacea it is claimed to be.</p><p>As you may know, the government has proposed a <a href=""https://www.theguardian.com/environment/2020/nov/18/uk-ban-on-new-fossil-fuel-vehicles-by-2030-not-enough-to-hit-climate-targets"">ban on the sale of new petrol and diesel cars</a> from 2030. The problem with the initiative is that it seems to be based on conclusions drawn from only one part of a car’s operating life: what comes out of the exhaust pipe. Electric cars, of course, have zero exhaust emissions, which is a welcome development, particularly in respect of the air quality in city centres. But if you zoom out a bit and look at a bigger picture that includes the car’s manufacture, the situation is very different. In advance of the Cop26 climate conference in Glasgow in 2021, Volvo released figures claiming that greenhouse gas emissions during production of an electric car are<a href=""https://www.thisismoney.co.uk/money/cars/article-10161697/Volvo-says-electric-car-making-emissions-70-HIGHER-petrol.html""> 70% higher</a> than when manufacturing a petrol one. How so? The problem lies with the lithium-ion batteries fitted currently to nearly all electric vehicles: they’re absurdly heavy, many rare earth metals and huge amounts of energy are required to make them, and they only last about 10 years. It seems a perverse choice of hardware with which to lead the automobile’s fight against the climate crisis.</p> <a href=""https://www.theguardian.com/commentisfree/2023/jun/03/electric-vehicles-early-adopter-petrol-car-ev-environment-rowan-atkinson"">Continue reading...</a>","Sat, 03 Jun 2023 07:00:24 GMT","https://www.theguardian.com/commentisfree/2023/jun/03/electric-vehicles-early-adopter-petrol-car-ev-environment-rowan-atkinson"
"Not for the first time, Sunak has been hung out to dry by Johnson – how much more can he take? | Jonathan Freedland","https://www.theguardian.com/commentisfree/2023/jun/02/sunak-johnson-covid-inquiry-whatsapp","<p>By giving his WhatsApps to the Covid inquiry, the former PM has revealed Sunak’s reticence for what it really is</p><p>Boris Johnson will haunt Rishi Sunak till the end. The current prime minister is desperate to put the recent past behind him, to persuade the country that he represents a new government and a fresh start. But every time he steps forward, the last prime minister (but one) sticks out a leg to trip him up.</p><p>The latest move came this morning, when just hours after the government had <a href=""https://www.theguardian.com/uk-news/2023/jun/01/government-to-launch-legal-action-in-attempt-to-retain-johnson-whatsapps"">announced</a> it would rather go to court than hand over Johnson’s unredacted WhatsApp messages and notebooks to the Covid inquiry, the former PM himself popped up to say he was “perfectly content” for Lady Heather Hallett and her team to see them, <a href=""https://www.theguardian.com/uk-news/2023/jun/02/senior-tories-express-doubts-over-covid-inquiry-legal-challenge"">duly sending her a whole lot</a>. Thanks a bunch, Boris.</p><p>Jonathan Freedland is a Guardian columnist</p> <a href=""https://www.theguardian.com/commentisfree/2023/jun/02/sunak-johnson-covid-inquiry-whatsapp"">Continue reading...</a>","Fri, 02 Jun 2023 16:46:17 GMT","https://www.theguardian.com/commentisfree/2023/jun/02/sunak-johnson-covid-inquiry-whatsapp"
